_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
682b0d43df21a5c1da8e1acc,,62.34,93.02,62.34,53.49,78;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1747651907000
682b0d2edf21a5c1da8e19f1,,69.55,92.55,69.55,55.49,87;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1747651886000
6829da6fdf21a5c1da82a014,,63.15,92.13,63.15,58.08,79;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1747573359000
6829da5ddf21a5c1da829f55,,81.54,93.75,87.14,73.28,102;2;1;0,time,15,-1,1,15.01,0,1.37,false,false,indonesian,,normal,false,false,false,,1747573341000
6826d966df21a5c1da65b2ea,,77.59,96.19,81.59,81.19,97;2;0;0,time,15,-1,1,15,0,3.28,false,false,indonesian,,normal,false,false,false,,1747376486000
6826d94fdf21a5c1da65b201,,75.99,93.14,75.99,64.72,95;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1747376463000
6826d93edf21a5c1da65b144,,79.19,97.25,79.19,63.61,99;0;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1747376446000
682581c8df21a5c1da55baab,,81.57,99.05,81.57,62.76,102;0;0;0,time,15,-1,2,15.01,0,4.1,false,false,indonesian,,normal,false,false,false,,1747288520000
682581b1df21a5c1da55b9d1,,79.98,92.59,79.98,65.91,100;0;0;0,time,15,-1,1,15,0,2.53,false,false,indonesian,,normal,false,false,false,,1747288497000
6825819bdf21a5c1da55b90b,,84.76,96.36,84.76,67.48,106;0;0;0,time,15,-1,2,15.01,0,17.29,false,false,indonesian,,normal,false,false,false,,1747288475000
6825459fdf21a5c1da538a40,,67.97,88.24,72.77,61.22,85;0;0;1,time,15,-1,5,15.01,0,12.73,false,false,indonesian,,normal,false,false,false,,1747273119000
6824105ddf21a5c1da44dc7c,,76.75,95.19,81.55,61.51,96;1;1;0,time,15,-1,1,15.01,1,2.37,false,false,indonesian,,normal,false,false,false,,1747193949000
68241048df21a5c1da44dbca,,76.79,97.03,76.79,63.45,96;0;0;0,time,15,-1,1,15,0,0.06,false,false,indonesian,,normal,false,false,false,,1747193928000
6823eef2df21a5c1da43b3e5,,71.13,96.74,71.13,62.9,89;0;0;0,time,15,-1,1,15.01,0,1.14,false,false,indonesian,,normal,false,false,false,,1747185394000
6822d4e9df21a5c1da35f9d9,,67.89,94.51,67.89,59.44,85;0;0;0,time,15,-1,0,15.02,0,0,false,false,indonesian,,normal,false,false,false,,1747113193000
682216f9df21a5c1da2dbb77,,83.19,93.91,89.59,75.87,104;3;0;0,time,15,-1,0,15,0,0,false,false,indonesian,,normal,false,false,false,,1747064569000
682216e8df21a5c1da2dba30,,83.02,96.36,83.02,67.1,104;0;0;0,time,15,-1,2,15.03,0,3.59,false,false,indonesian,,normal,false,false,false,,1747064552000
682216d2df21a5c1da2db87c,,75.15,92.11,89.54,75.13,94;5;0;1,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1747064530000
682216bcdf21a5c1da2db6e6,,91.13,98.28,91.13,74.81,114;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1747064508000
682213dddf21a5c1da2d8412,,69.57,95.6,69.57,63.17,87;0;0;0,time,15,-1,0,15.01,0,0,false,false,indonesian,,normal,false,false,false,,1747063773000
